Date,Tmax,Tmin,Tavg
01-01-1971,24.2,19,21.6
02-01-1971,24.7,11.2,17.95
03-01-1971,24.2,12.9,18.55
04-01-1971,23.6,11.1,17.35
05-01-1971,25,14.1,19.55
06-01-1971,25.5,11.2,18.35
07-01-1971,24,13.8,18.9
08-01-1971,23.8,14.6,19.2
09-01-1971,25.4,9.9,17.65
10-01-1971,24.2,16.3,20.25
11-01-1971,26.4,13,19.7
12-01-1971,29.5,12.9,21.2
13-01-1971,25.9,12.9,19.4
14-01-1971,25.7,10.8,18.25
15-01-1971,27.5,10.3,18.9
16-01-1971,32.3,16.5,24.4
17-01-1971,38.5,19,28.75
18-01-1971,25,19.4,22.2
19-01-1971,30.2,13.6,21.9
20-01-1971,33.2,16.8,25
21-01-1971,40,23.2,31.6
22-01-1971,40.7,26.1,33.4
23-01-1971,29.2,20.2,24.7
24-01-1971,32.7,16.6,24.65
25-01-1971,31.4,16.6,24
26-01-1971,30.1,16.5,23.3
27-01-1971,35.2,21.1,28.15
28-01-1971,35.1,21.1,28.1
29-01-1971,35.3,24.6,29.95
30-01-1971,35.7,25,30.35
31-01-1971,32,22.6,27.3
01-02-1971,35.1,21.6,28.35
02-02-1971,38.8,23.3,31.05
03-02-1971,35.3,21.7,28.5
04-02-1971,31.4,20.9,26.15
05-02-1971,28.4,20.6,24.5
06-02-1971,25.4,20.6,23
07-02-1971,25.2,15.4,20.3
08-02-1971,26.9,13.2,20.05
09-02-1971,28.6,14.6,21.6
10-02-1971,31.9,13.6,22.75
11-02-1971,30.5,15.9,23.2
12-02-1971,30.9,16.7,23.8
13-02-1971,26.3,12.6,19.45
14-02-1971,23.1,15,19.05
15-02-1971,24.4,17,20.7
16-02-1971,26,12.4,19.2
17-02-1971,26,13.4,19.7
18-02-1971,25,10.2,17.6
19-02-1971,28.3,10.9,19.6
20-02-1971,31.4,15.9,23.65
21-02-1971,32.3,16.6,24.45
22-02-1971,33.2,17.3,25.25
23-02-1971,37.3,20.9,29.1
24-02-1971,37.2,23.8,30.5
25-02-1971,26.4,20.6,23.5
26-02-1971,26.3,20,23.15
27-02-1971,29.4,15.2,22.3
28-02-1971,31.4,18.2,24.8
01-03-1971,33.2,17,25.1
02-03-1971,35.2,20,27.6
03-03-1971,37.6,21.2,29.4
04-03-1971,28.5,18.7,23.6
05-03-1971,25.8,19.8,22.8
06-03-1971,28,15.9,21.95
07-03-1971,27.6,17.3,22.45
08-03-1971,26.8,13.7,20.25
09-03-1971,30.7,12.9,21.8
10-03-1971,30.7,16.4,23.55
11-03-1971,32.5,18.2,25.35
12-03-1971,24.6,19.7,22.15
